Company,Sector,City,State,Ceo_Woman,lat,lon
Lowe's,Retailing,Mooresville,NC,no,35.5848596,-80.8100724
Bank of America,Financials,Charlotte,NC,no,35.2272086,-80.8430827
Johnson & Johnson,Health Care,New Brunswick,NJ,no,40.4862174,-74.4518173
FedEx,Transportation,Memphis,TN,no,35.1460249,-90.0517638
Humana,Health Care,Louisville,KY,no,38.2542376,-85.759407
Wells Fargo,Financials,San Francisco,CA,no,37.7790262,-122.419906
Pfizer,Health Care,New York,NY,no,40.7127281,-74.0060152
Citigroup,Financials,New York,NY,yes,40.7127281,-74.0060152
PepsiCo,"Food, Beverages & Tobacco",Purchase,NY,no,41.0409305,-73.7145746
Intel,Technology,Santa Clara,CA,no,37.3541132,-121.955174
Procter & Gamble,Household Products,Cincinnati,OH,no,39.1014537,-84.5124602
General Electric,Industrials,Boston,MA,no,42.3554334,-71.060511
MetLife,Financials,New York,NY,no,40.7127281,-74.0060152
Prudential Financial,Financials,Newark,NJ,no,40.735657,-74.1723667
Albertsons,Food & Drug Stores,Boise,ID,no,43.6166163,-116.200886
Walt Disney,Media,Burbank,CA,no,34.1812089,-118.307201
Energy Transfer,Energy,Dallas,TX,no,32.7762719,-96.7968559
Lockheed Martin,Aerospace & Defense,Bethesda,MD,no,38.9814093,-77.1178538
Freddie Mac,Financials,McLean,VA,no,38.9342888,-77.1776327
Goldman Sachs Group,Financials,New York,NY,no,40.7127281,-74.0060152
Raytheon Technologies,Aerospace & Defense,Waltham,MA,no,42.3756401,-71.2358004
HP,Technology,Palo Alto,CA,no,37.4443293,-122.1598465
Boeing,Aerospace & Defense,Chicago,IL,no,41.8755616,-87.6244212
Morgan Stanley,Financials,New York,NY,no,40.7127281,-74.0060152
HCA Healthcare,Health Care,Nashville,TN,no,36.1622767,-86.7742984
AbbVie,Health Care,North Chicago,IL,no,42.325578,-87.8411818
Dow,Chemicals,Midland,MI,no,43.6155825,-84.2472117
Tesla,Motor Vehicles & Parts,Austin,TX,no,30.2711286,-97.7436995
Allstate,Financials,Northbrook,IL,no,42.128704,-87.8265089
Best Buy,Retailing,Richfield,MN,yes,44.8766431,-93.2877877
Charter Communications,Telecommunications,Stamford,CT,no,41.0534302,-73.5387341
Sysco,Wholesalers,Houston,TX,no,29.7589382,-95.3676974
Merck,Health Care,Kenilworth,NJ,no,40.6760225,-74.289262
Caterpillar,Industrials,Deerfield,IL,no,42.1711365,-87.8445119
Cisco Systems,Technology,San Jose,CA,no,37.3361663,-121.890591
TJX,Retailing,Framingham,MA,no,42.2773177,-71.4165905
ConocoPhillips,Energy,Houston,TX,no,29.7589382,-95.3676974
Progressive,Financials,Mayfield Village,OH,yes,41.53638285,-81.45873093
Tyson Foods,"Food, Beverages & Tobacco",Springdale,AR,no,36.1867442,-94.1288142
Bristol-Myers Squibb,Health Care,New York,NY,no,40.7127281,-74.0060152
Nike,Apparel,Beaverton,OR,no,45.4871723,-122.80378
Deere,Industrials,Moline,IL,no,41.5058344,-90.5136642
American Express,Financials,New York,NY,no,40.7127281,-74.0060152
Abbott Laboratories,Health Care,Abbott Park,IL,no,41.71961645,-87.62209127
Plains GP Holdings,Energy,Houston,TX,no,29.7589382,-95.3676974
Enterprise Products Partners,Energy,Houston,TX,no,29.7589382,-95.3676974
Oracle,Technology,Austin,TX,yes,30.2711286,-97.7436995
Thermo Fisher Scientific,Technology,Waltham,MA,no,42.3756401,-71.2358004
Coca-Cola,"Food, Beverages & Tobacco",Atlanta,GA,no,33.7489924,-84.3902644
General Dynamics,Aerospace & Defense,Reston,VA,yes,38.9583737,-77.3579805
Nucor,Materials,Charlotte,NC,no,35.2272086,-80.8430827
Exelon,Energy,Chicago,IL,no,41.8755616,-87.6244212
Northrop Grumman,Aerospace & Defense,Falls Church,VA,yes,38.882334,-77.1710914
3M,Chemicals,St. Paul,MN,no,44.9497487,-93.0931028
Travelers,Financials,New York,NY,no,40.7127281,-74.0060152
Arrow Electronics,Wholesalers,Centennial,CO,no,39.579155,-104.8769227
Honeywell International,Industrials,Charlotte,NC,no,35.2272086,-80.8430827
Dollar General,Retailing,Goodlettsville,TN,no,36.3349115,-86.70533913
Qualcomm,Technology,San Diego,CA,no,32.7174202,-117.1627728
Capital One Financial,Financials,McLean,VA,no,38.9342888,-77.1776327
TD Synnex,Wholesalers,Fremont,CA,no,37.5482697,-121.988571
Philip Morris International,"Food, Beverages & Tobacco",New York,NY,no,40.7127281,-74.0060152
World Fuel Services,Energy,Miami,FL,no,25.7741728,-80.19362
Performance Food Group,Wholesalers,Richmond,VA,no,37.5385087,-77.43428
Delta Air Lines,Transportation,Atlanta,GA,no,33.7489924,-84.3902644
American Airlines Group,Transportation,Fort Worth,TX,no,32.753177,-97.3327459
Netflix,Media,Los Gatos,CA,no,37.226611,-121.9746797
US Foods Holding,Wholesalers,Rosemont,IL,no,41.9941334,-87.8756737
Danaher,Health Care,Washington,DC,no,38.8950368,-77.0365427
Jabil,Technology,St. Petersburg,FL,no,27.7700475,-82.6359078
Starbucks,"Hotels, Restaurants & Leisure",Seattle,WA,no,47.6038321,-122.330062
Mondelez International,"Food, Beverages & Tobacco",Chicago,IL,no,41.8755616,-87.6244212
Eli Lilly,Health Care,Indianapolis,IN,no,39.7683331,-86.1583502
Hewlett Packard Enterprise,Technology,Houston,TX,no,29.7589382,-95.3676974
D.R. Horton,Engineering & Construction,Arlington,TX,no,32.7355816,-97.1071186
Molina Healthcare,Health Care,Long Beach,CA,no,33.7690164,-118.191604
CBRE Group,Financials,Dallas,TX,no,32.7762719,-96.7968559
Micron Technology,Technology,Boise,ID,no,43.6166163,-116.200886
Broadcom,Technology,San Jose,CA,no,37.3361663,-121.890591
Gilead Sciences,Health Care,Foster City,CA,no,37.5600336,-122.2688522
PBF Energy,Energy,Parsippany,NJ,no,40.8578772,-74.4259866
Lennar,Engineering & Construction,Miami,FL,no,25.7741728,-80.19362
United Natural Foods,Wholesalers,Providence,RI,no,41.8239891,-71.4128343
NRG Energy,Energy,Houston,TX,no,29.7589382,-95.3676974
Nvidia,Technology,Santa Clara,CA,no,37.3541132,-121.955174
Occidental Petroleum,Energy,Houston,TX,yes,29.7589382,-95.3676974
Salesforce,Technology,San Francisco,CA,no,37.7790262,-122.419906
Dollar Tree,Retailing,Chesapeake,VA,no,36.7183708,-76.2466798
KKR,Financials,New York,NY,no,40.7127281,-74.0060152
Kraft Heinz,"Food, Beverages & Tobacco",Chicago,IL,no,41.8755616,-87.6244212
Amgen,Health Care,Thousand Oaks,CA,no,34.1705609,-118.8375937
AutoNation,Retailing,Fort Lauderdale,FL,no,26.1223084,-80.1433786
Penske Automotive Group,Retailing,Bloomfield Hills,MI,no,42.583645,-83.2454883
Macy's,Retailing,New York,NY,no,40.7127281,-74.0060152
Duke Energy,Energy,Charlotte,NC,yes,35.2272086,-80.8430827
United Airlines Holdings,Transportation,Chicago,IL,no,41.8755616,-87.6244212
Visa,Business Services,San Francisco,CA,no,37.7790262,-122.419906
Rite Aid,Food & Drug Stores,Camp Hill,PA,yes,40.2398118,-76.9199742
Cummins,Industrials,Columbus,IN,yes,39.2014405,-85.9213796
U.S. Bancorp,Financials,Minneapolis,MN,no,44.9772995,-93.2654692
Paccar,Motor Vehicles & Parts,Bellevue,WA,no,47.6144219,-122.192337
McDonald's,"Hotels, Restaurants & Leisure",Chicago,IL,no,41.8755616,-87.6244212
Southern,Energy,Atlanta,GA,no,33.7489924,-84.3902644
C.H. Robinson Worldwide,Transportation,Eden Prairie,MN,no,44.8546856,-93.470786
Truist Financial,Financials,Charlotte,NC,no,35.2272086,-80.8430827
Applied Materials,Technology,Santa Clara,CA,no,37.3541132,-121.955174
Freeport-McMoRan,Energy,Phoenix,AZ,no,33.4484367,-112.074141
Lithia Motors,Retailing,Medford,OR,no,42.3264181,-122.8718605
Hartford Financial Services Group,Financials,Hartford,CT,no,41.764582,-72.6908547
Aflac,Financials,Columbus,GA,no,32.4610708,-84.9880449
Whirlpool,Industrials,Benton Harbor,MI,no,42.1167065,-86.4541894
Union Pacific,Transportation,Omaha,NE,no,41.2587459,-95.9383758
International Paper,Materials,Memphis,TN,no,35.1460249,-90.0517638
Altria Group,"Food, Beverages & Tobacco",Richmond,VA,no,37.5385087,-77.43428
CDW,Technology,Lincolnshire,IL,yes,42.1900249,-87.9084039
ManpowerGroup,Business Services,Milwaukee,WI,no,43.0349931,-87.922497
PG&E,Energy,San Francisco,CA,yes,37.7790262,-122.419906
Baker Hughes,Energy,Houston,TX,no,29.7589382,-95.3676974
Cleveland-Cliffs,Materials,Cleveland,OH,no,41.4996574,-81.6936772
United States Steel,Materials,Pittsburgh,PA,no,40.4416941,-79.9900861
Becton Dickinson,Health Care,Franklin Lakes,NJ,no,41.0167639,-74.2057012
CarMax,Retailing,Richmond,VA,no,37.5385087,-77.43428
Sherwin-Williams,Chemicals,Cleveland,OH,no,41.4996574,-81.6936772
Builders FirstSource,Materials,Dallas,TX,no,32.7762719,-96.7968559
Marsh & McLennan,Financials,New York,NY,no,40.7127281,-74.0060152
PNC Financial Services Group,Financials,Pittsburgh,PA,no,40.4416941,-79.9900861
Lumen Technologies,Telecommunications,Monroe,LA,no,32.5102427,-92.1032411
Avnet,Wholesalers,Phoenix,AZ,no,33.4484367,-112.074141
Tenet Healthcare,Health Care,Dallas,TX,no,32.7762719,-96.7968559
Kimberly-Clark,Household Products,Irving,TX,no,32.8295183,-96.9442177
Kohl's,Retailing,Menomonee Falls,WI,yes,43.1790768,-88.1170784
BlackRock,Financials,New York,NY,no,40.7127281,-74.0060152
Jones Lang LaSalle,Financials,Chicago,IL,no,41.8755616,-87.6244212
Lear,Motor Vehicles & Parts,Southfield,MI,no,42.4733689,-83.2218731
Lincoln National,Financials,Radnor,PA,yes,40.0463001,-75.3595487
Charles Schwab,Financials,Westlake,TX,no,32.991226,-97.1943701
Ross Stores,Retailing,Dublin,CA,yes,37.7021521,-121.9357918
Mastercard,Business Services,Purchase,NY,no,41.0409305,-73.7145746
Genuine Parts,Wholesalers,Atlanta,GA,no,33.7489924,-84.3902644
WestRock,Materials,Atlanta,GA,no,33.7489924,-84.3902644
EOG Resources,Energy,Houston,TX,no,29.7589382,-95.3676974
Cognizant Technology Solutions,Technology,Teaneck,NJ,no,40.8860164,-74.0072568
Steel Dynamics,Materials,Fort Wayne,IN,no,41.0799898,-85.1386015
Texas Instruments,Technology,Dallas,TX,no,32.7762719,-96.7968559
Emerson Electric,Industrials,St. Louis,MO,no,38.6280278,-90.1910154
WESCO International,Wholesalers,Pittsburgh,PA,no,40.4416941,-79.9900861
General Mills,"Food, Beverages & Tobacco",Minneapolis,MN,no,44.9772995,-93.2654692
Tenneco,Motor Vehicles & Parts,Lake Forest,IL,no,42.2586461,-87.8407055
Waste Management,Business Services,Houston,TX,no,29.7589382,-95.3676974
DISH Network,Telecommunications,Englewood,CO,no,39.6482059,-104.9879641
L3Harris Technologies,Aerospace & Defense,Melbourne,FL,no,28.106471,-80.6371513
DXC Technology,Technology,Tysons,VA,no,38.918592,-77.2314723
Block,Business Services,San Francisco,CA,no,37.7790262,-122.419906
Goodyear Tire & Rubber,Motor Vehicles & Parts,Akron,OH,no,41.083064,-81.518485
Uber Technologies,Technology,San Francisco,CA,no,37.7790262,-122.419906
Colgate-Palmolive,Household Products,New York,NY,no,40.7127281,-74.0060152
Stanley Black & Decker,Household Products,New Britain,CT,no,41.6612104,-72.7795419
DuPont,Chemicals,Wilmington,DE,no,39.7459468,-75.546589
Stryker,Health Care,Kalamazoo,MI,no,42.291707,-85.5872286
NextEra Energy,Energy,Juno Beach,FL,no,26.8815475,-80.0539253
Targa Resources,Energy,Houston,TX,no,29.7589382,-95.3676974
Western Digital,Technology,San Jose,CA,no,37.3361663,-121.890591
PPG Industries,Chemicals,Pittsburgh,PA,no,40.4416941,-79.9900861
American Electric Power,Energy,Columbus,OH,no,39.9622601,-83.0007065
Gap,Retailing,San Francisco,CA,no,37.7790262,-122.419906
Reinsurance Group of America,Financials,Chesterfield,MO,yes,38.661953,-90.5643258
Kinder Morgan,Energy,Houston,TX,no,29.7589382,-95.3676974
Oneok,Energy,Tulsa,OK,no,36.1563122,-95.9927516
Expeditors Intl. of Washington,Transportation,Seattle,WA,no,47.6038321,-122.330062
Advanced Micro Devices,Technology,Santa Clara,CA,yes,37.3541132,-121.955174
Fiserv,Business Services,Brookfield,WI,no,43.0578479,-88.1261984
Estée Lauder,Household Products,New York,NY,no,40.7127281,-74.0060152
Bank of New York Mellon,Financials,New York,NY,no,40.7127281,-74.0060152
Laboratory Corp. of America,Health Care,Burlington,NC,no,36.0956918,-79.4377991
Regeneron Pharmaceuticals,Health Care,Tarrytown,NY,no,41.0762077,-73.8587461
Cheniere Energy,Energy,Houston,TX,no,29.7589382,-95.3676974
Southwest Airlines,Transportation,Dallas,TX,no,32.7762719,-96.7968559
Adobe,Technology,San Jose,CA,no,37.3361663,-121.890591
Synchrony Financial,Financials,Stamford,CT,no,41.0534302,-73.5387341
Corteva,"Food, Beverages & Tobacco",Indianapolis,IN,no,39.7683331,-86.1583502
Fidelity National Financial,Financials,Jacksonville,FL,no,30.3321838,-81.655651
DTE Energy,Energy,Detroit,MI,no,42.3315509,-83.0466403
Murphy USA,Retailing,El Dorado,AR,no,33.2115087,-92.6650144
Halliburton,Energy,Houston,TX,no,29.7589382,-95.3676974
Automatic Data Processing,Business Services,Roseland,NJ,no,40.8206555,-74.2937595
Edison International,Energy,Rosemead,CA,no,34.0676169,-118.0879763
Nordstrom,Retailing,Seattle,WA,no,47.6038321,-122.330062
Loews,Financials,New York,NY,no,40.7127281,-74.0060152
Pioneer Natural Resources,Energy,Irving,TX,no,32.8295183,-96.9442177
AutoZone,Retailing,Memphis,TN,no,35.1460249,-90.0517638
Lam Research,Technology,Fremont,CA,no,37.5482697,-121.988571
Illinois Tool Works,Industrials,Glenview,IL,no,42.0700662,-87.8114044
Parker-Hannifin,Industrials,Cleveland,OH,no,41.4996574,-81.6936772
Omnicom Group,Business Services,New York,NY,no,40.7127281,-74.0060152
Principal Financial,Financials,Des Moines,IA,no,41.5910323,-93.6046655
Dominion Energy,Energy,Richmond,VA,no,37.5385087,-77.43428
Kellogg,"Food, Beverages & Tobacco",Battle Creek,MI,no,42.3192548,-85.1824269
Fluor,Engineering & Construction,Irving,TX,no,32.8295183,-96.9442177
AECOM,Engineering & Construction,Dallas,TX,no,32.7762719,-96.7968559
Reliance Steel & Aluminum,Materials,Los Angeles,CA,no,34.0536909,-118.242766
Jacobs Engineering Group,Engineering & Construction,Dallas,TX,no,32.7762719,-96.7968559
Corning,Industrials,Corning,NY,no,42.1435257,-77.0543408
Qurate Retail,Retailing,Englewood,CO,no,39.6482059,-104.9879641
PulteGroup,Engineering & Construction,Atlanta,GA,no,33.7489924,-84.3902644
Fidelity National Information Services,Business Services,Jacksonville,FL,no,30.3321838,-81.655651
IQVIA Holdings,Health Care,Durham,NC,no,35.996653,-78.9018053
Marriott International,"Hotels, Restaurants & Leisure",Bethesda,MD,no,38.9814093,-77.1178538
Berry Global Group,Materials,Evansville,IN,no,37.970495,-87.5715641
Ball,Materials,Westminster,CO,no,39.8366528,-105.0372046
Group 1 Automotive,Retailing,Houston,TX,no,29.7589382,-95.3676974
Leidos Holdings,Technology,Reston,VA,no,38.9583737,-77.3579805
Wayfair,Retailing,Boston,MA,no,42.3554334,-71.060511
Consolidated Edison,Energy,New York,NY,no,40.7127281,-74.0060152
Ameriprise Financial,Financials,Minneapolis,MN,no,44.9772995,-93.2654692
O'Reilly Automotive,Retailing,Springfield,MO,no,37.1968298,-93.2946576
Global Partners,Wholesalers,Waltham,MA,no,42.3756401,-71.2358004
Discover Financial Services,Financials,Riverwoods,IL,no,42.1676068,-87.8970986
Rocket Companies,Financials,Detroit,MI,no,42.3315509,-83.0466403
LKQ,Wholesalers,Chicago,IL,no,41.8755616,-87.6244212
W.W. Grainger,Wholesalers,Lake Forest,IL,no,42.2586461,-87.8407055
Quanta Services,Engineering & Construction,Houston,TX,no,29.7589382,-95.3676974
Crown Holdings,Materials,Yardley,PA,no,40.245664,-74.8459972
Fox,Media,New York,NY,no,40.7127281,-74.0060152
Markel,Financials,Glen Allen,VA,no,37.6659781,-77.506374
Carvana,Retailing,Tempe,AZ,no,33.4255117,-111.9400164
XPO Logistics,Transportation,Greenwich,CT,no,41.0264862,-73.6284598
Baxter International,Health Care,Deerfield,IL,no,42.1711365,-87.8445119
Ecolab,Chemicals,St. Paul,MN,no,44.9497487,-93.0931028
Tractor Supply,Retailing,Brentwood,TN,no,36.0325687,-86.7825235
Andersons,"Food, Beverages & Tobacco",Maumee,OH,no,41.5628294,-83.6538244
Keurig Dr Pepper,"Food, Beverages & Tobacco",Burlington,MA,no,42.5048167,-71.1956111
Universal Health Services,Health Care,King of Prussia,PA,no,40.0908111,-75.3832484
CSX,Transportation,Jacksonville,FL,no,30.3321838,-81.655651
Henry Schein,Health Care,Melville,NY,no,40.7934322,-73.4151214
Sonic Automotive,Retailing,Charlotte,NC,no,35.2272086,-80.8430827
eBay,Technology,San Jose,CA,no,37.3361663,-121.890591
Textron,Aerospace & Defense,Providence,RI,no,41.8239891,-71.4128343
Community Health Systems,Health Care,Franklin,TN,no,35.925206,-86.8689419
Mosaic,Chemicals,Tampa,FL,no,27.9477595,-82.458444
Thor Industries,Motor Vehicles & Parts,Elkhart,IN,no,41.6819935,-85.9766671
Dick's Sporting Goods,Retailing,Coraopolis,PA,yes,40.5184013,-80.1667247
Newmont,Energy,Denver,CO,no,39.7392364,-104.984862
Devon Energy,Energy,Oklahoma City,OK,no,35.4729886,-97.5170536
J.B. Hunt Transport Services,Transportation,Lowell,AR,no,36.2553543,-94.1307587
Alcoa,Materials,Pittsburgh,PA,no,40.4416941,-79.9900861
Aramark,Business Services,Philadelphia,PA,no,39.9527237,-75.1635262
Vistra,Energy,Irving,TX,no,32.8295183,-96.9442177
State Street,Financials,Boston,MA,no,42.3554334,-71.060511
Unum Group,Financials,Chattanooga,TN,no,35.0457219,-85.3094883
Alleghany,Financials,New York,NY,no,40.7127281,-74.0060152
Boston Scientific,Health Care,Marlborough,MA,no,42.3459271,-71.5522874
Entergy,Energy,New Orleans,LA,no,29.9759983,-90.0782127
International Flavors & Fragrances,Chemicals,New York,NY,no,40.7127281,-74.0060152
DaVita,Health Care,Denver,CO,no,39.7392364,-104.984862
Assurant,Financials,New York,NY,no,40.7127281,-74.0060152
Liberty Media,Media,Englewood,CO,no,39.6482059,-104.9879641
Hormel Foods,"Food, Beverages & Tobacco",Austin,MN,no,43.6680928,-92.9744896
Icahn Enterprises,Financials,Sunny Isles Beach,FL,no,25.9426915,-80.1218486
Republic Services,Business Services,Phoenix,AZ,no,33.4484367,-112.074141
Mohawk Industries,Household Products,Calhoun,GA,no,34.502587,-84.9510542
Conagra Brands,"Food, Beverages & Tobacco",Chicago,IL,no,41.8755616,-87.6244212
Norfolk Southern,Transportation,Atlanta,GA,no,33.7489924,-84.3902644
AES,Energy,Arlington,VA,no,38.8903961,-77.0841585
AGCO,Industrials,Duluth,GA,no,34.0028569,-84.1441046
Caesars Entertainment,"Hotels, Restaurants & Leisure",Reno,NV,no,39.5261206,-119.8126581
Equitable Holdings,Financials,New York,NY,no,40.7127281,-74.0060152
Advance Auto Parts,Retailing,Raleigh,NC,no,35.7803977,-78.6390989
Biogen,Health Care,Cambridge,MA,no,42.3655767,-71.1040018
Booking Holdings,Technology,Norwalk,CT,no,41.1175966,-73.4078968
Amphenol,Technology,Wallingford,CT,no,41.4570418,-72.8231552
Quest Diagnostics,Health Care,Secaucus,NJ,no,40.7899291,-74.0566735
FirstEnergy,Energy,Akron,OH,no,41.083064,-81.518485
DCP Midstream,Energy,Denver,CO,no,39.7392364,-104.984862
Ally Financial,Financials,Detroit,MI,no,42.3315509,-83.0466403
Delek US Holdings,Energy,Brentwood,TN,no,36.0325687,-86.7825235
Williams,Energy,Tulsa,OK,no,36.1563122,-95.9927516
Newell Brands,Household Products,Atlanta,GA,no,33.7489924,-84.3902644
Eastman Chemical,Chemicals,Kingsport,TN,no,36.550238,-82.5594293
Air Products & Chemicals,Chemicals,Allentown,PA,no,40.6022059,-75.4712794
Molson Coors Beverage,"Food, Beverages & Tobacco",Chicago,IL,no,41.8755616,-87.6244212
Interpublic Group,Business Services,New York,NY,no,40.7127281,-74.0060152
Weyerhaeuser,Materials,Seattle,WA,no,47.6038321,-122.330062
Altice USA,Telecommunications,Long Island City,NY,no,40.7455316,-73.9484995
Raymond James Financial,Financials,St. Petersburg,FL,no,27.7700475,-82.6359078
EMCOR Group,Engineering & Construction,Norwalk,CT,no,41.1175966,-73.4078968
Eversource Energy,Energy,Springfield,MA,no,42.1018764,-72.5886727
Yum China Holdings,"Hotels, Restaurants & Leisure",Plano,TX,yes,33.0136764,-96.6925096
Asbury Automotive Group,Retailing,Duluth,GA,no,34.0028569,-84.1441046
Owens & Minor,Health Care,Mechanicsville,VA,no,37.6039694,-77.3717321
Public Service Enterprise Group,Energy,Newark,NJ,no,40.735657,-74.1723667
United Rentals,Business Services,Stamford,CT,no,41.0534302,-73.5387341
MGM Resorts International,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,36.1672559,-115.148516
Ryder System,Transportation,Miami,FL,no,25.7741728,-80.19362
Intuit,Technology,Mountain View,CA,no,49.133333,-113.6
Cincinnati Financial,Financials,Fairfield,OH,no,39.3458953,-84.5605031
Univar Solutions,Wholesalers,Downers Grove,IL,no,41.7936822,-88.0102281
Huntington Ingalls Industries,Aerospace & Defense,Newport News,VA,no,36.9775016,-76.42977
W.R. Berkley,Financials,Greenwich,CT,no,41.0264862,-73.6284598
Insight Enterprises,Technology,Tempe,AZ,yes,33.4255117,-111.9400164
News Corp.,Media,New York,NY,no,40.7127281,-74.0060152
American Tower,Financials,Boston,MA,no,42.3554334,-71.060511
Old Republic International,Financials,Chicago,IL,no,41.8755616,-87.6244212
Burlington Stores,Retailing,Burlington,NJ,no,40.0712218,-74.8648859
Avis Budget Group,Retailing,Parsippany,NJ,no,40.8578772,-74.4259866
ODP,Retailing,Boca Raton,FL,no,26.3586885,-80.0830984
Bed Bath & Beyond,Retailing,Union,NJ,yes,40.6976019,-74.2632024
Seaboard,"Food, Beverages & Tobacco",Merriam,KS,no,39.0168058,-94.689947
First American Financial,Financials,Santa Ana,CA,no,33.7494951,-117.8732213
Intercontinental Exchange,Financials,Atlanta,GA,no,33.7489924,-84.3902644
PVH,Apparel,New York,NY,no,40.7127281,-74.0060152
Apollo Global Management,Financials,New York,NY,no,40.7127281,-74.0060152
Jefferies Financial Group,Financials,New York,NY,no,40.7127281,-74.0060152
Hershey,"Food, Beverages & Tobacco",Hershey,PA,yes,40.2854881,-76.6506001
NVR,Engineering & Construction,Reston,VA,no,38.9583737,-77.3579805
Foot Locker,Retailing,New York,NY,yes,40.7127281,-74.0060152
Dana,Motor Vehicles & Parts,Maumee,OH,no,41.5628294,-83.6538244
SpartanNash,Wholesalers,Byron Center,MI,no,42.8122508,-85.7228062
Olin,Chemicals,Clayton,MO,no,38.6504352,-90.3362473
Chewy,Retailing,Dania Beach,FL,no,26.0524224,-80.143929
Activision Blizzard,Media,Santa Monica,CA,no,34.0194704,-118.491227
Toll Brothers,Engineering & Construction,Fort Washington,PA,no,40.1399717,-75.210095
Carlyle Group,Financials,Washington,DC,no,38.8950368,-77.0365427
Ovintiv,Energy,Denver,CO,no,39.7392364,-104.984862
UFP Industries,Materials,Grand Rapids,MI,no,42.9632425,-85.6678639
Ulta Beauty,Retailing,Bolingbrook,IL,no,41.7003302,-88.0717708
Constellation Brands,"Food, Beverages & Tobacco",Victor,NY,no,42.9825634,-77.4088794
Expedia Group,Retailing,Seattle,WA,no,47.6038321,-122.330062
CommScope Holding,Technology,Hickory,NC,no,35.7333312,-81.3442915
Celanese,Chemicals,Irving,TX,yes,32.8295183,-96.9442177
Global Payments,Business Services,Atlanta,GA,no,33.7489924,-84.3902644
Owens Corning,Materials,Toledo,OH,no,41.6529143,-83.5378173
Campbell Soup,"Food, Beverages & Tobacco",Camden,NJ,no,39.9448402,-75.1198911
Huntsman,Chemicals,The Woodlands,TX,no,30.1734194,-95.504686
Franklin Resources,Financials,San Mateo,CA,yes,37.5629997,-122.3253265
Avery Dennison,Materials,Glendale,CA,no,34.1469416,-118.2478471
Masco,Household Products,Livonia,MI,no,42.36837,-83.3527097
CenterPoint Energy,Energy,Houston,TX,no,29.7589382,-95.3676974
Fifth Third Bancorp,Financials,Cincinnati,OH,no,39.1014537,-84.5124602
WEC Energy Group,Energy,Milwaukee,WI,no,43.0349931,-87.922497
S&P Global,Business Services,New York,NY,no,40.7127281,-74.0060152
Polaris,Transportation,Medina,MN,no,45.0151361,-93.574375
Williams-Sonoma,Retailing,San Francisco,CA,yes,37.7790262,-122.419906
Autoliv,Motor Vehicles & Parts,Auburn Hills,MI,no,42.6875323,-83.2341028
Arthur J. Gallagher,Financials,Rolling Meadows,IL,no,42.0841936,-88.0131275
Motorola Solutions,Technology,Chicago,IL,no,41.8755616,-87.6244212
Zillow Group,Technology,Seattle,WA,no,47.6038321,-122.330062
Opendoor Technologies,Technology,San Francisco,CA,no,37.7790262,-122.419906
J.M. Smucker,"Food, Beverages & Tobacco",Orrville,OH,no,40.8436664,-81.7640212
Oshkosh,Industrials,Oshkosh,WI,no,44.0206919,-88.5408574
